question,answer,category,difficulty,part_of_speech
casa,house,Italian,Easy,Noun
acqua,water,Italian,Easy,Noun
pane,bread,Italian,Easy,Noun
tempo,time,Italian,Easy,Noun
uomo,man,Italian,Easy,Noun
donna,woman,Italian,Easy,Noun
bambino,child,Italian,Easy,Noun
mondo,world,Italian,Easy,Noun
vita,life,Italian,Easy,Noun
mano,hand,Italian,Easy,Noun
occhio,eye,Italian,Easy,Noun
giorno,day,Italian,Easy,Noun
notte,night,Italian,Easy,Noun
anno,year,Italian,Easy,Noun
paese,country,Italian,Easy,Noun
città,city,Italian,Easy,Noun
strada,street,Italian,Easy,Noun
macchina,car,Italian,Easy,Noun
lavoro,work,Italian,Easy,Noun
scuola,school,Italian,Easy,Noun
famiglia,family,Italian,Easy,Noun
amico,friend,Italian,Easy,Noun
denaro,money,Italian,Easy,Noun
numero,number,Italian,Easy,Noun
parte,part,Italian,Easy,Noun
gruppo,group,Italian,Easy,Noun
problema,problem,Italian,Easy,Noun
posto,place,Italian,Easy,Noun
caso,case,Italian,Easy,Noun
fatto,fact,Italian,Easy,Noun
essere,to be,Italian,Medium,Verb
avere,to have,Italian,Medium,Verb
fare,to do/make,Italian,Medium,Verb
dire,to say,Italian,Medium,Verb
andare,to go,Italian,Medium,Verb
potere,to be able,Italian,Medium,Verb
dovere,to have to,Italian,Medium,Verb
volere,to want,Italian,Medium,Verb
sapere,to know,Italian,Medium,Verb
dare,to give,Italian,Medium,Verb
stare,to stay,Italian,Medium,Verb
vedere,to see,Italian,Medium,Verb
venire,to come,Italian,Medium,Verb
uscire,to go out,Italian,Medium,Verb
parlare,to speak,Italian,Medium,Verb
trovare,to find,Italian,Medium,Verb
portare,to bring,Italian,Medium,Verb
lasciare,to leave,Italian,Medium,Verb
mettere,to put,Italian,Medium,Verb
sentire,to hear/feel,Italian,Medium,Verb
chiamare,to call,Italian,Medium,Verb
aspettare,to wait,Italian,Medium,Verb
entrare,to enter,Italian,Medium,Verb
